year,release,link,filteredParagraphs,rawParagraphs
2003,2003-03-20,https://www.federalreserve.gov/fomc/minutes/20030129.htm,[],[]
2003,2003-05-08,https://www.federalreserve.gov/fomc/minutes/20030318.htm,[],[]
2003,2003-06-26,https://www.federalreserve.gov/fomc/minutes/20030506.htm,[],[]
2003,2003-08-14,https://www.federalreserve.gov/fomc/minutes/20030625.htm,[],[]
2003,2003-09-18,https://www.federalreserve.gov/fomc/minutes/20030812.htm,[],[]
2003,2003-10-30,https://www.federalreserve.gov/fomc/minutes/20030916.htm,[],[]
2003,2003-12-11,https://www.federalreserve.gov/fomc/minutes/20031028.htm,[],[]
2003,2004-01-29,https://www.federalreserve.gov/fomc/minutes/20031209.htm,[],[]
2002,2002-03-21,https://www.federalreserve.gov/fomc/minutes/20020130.htm,[],[]
2002,2002-05-09,https://www.federalreserve.gov/fomc/minutes/20020319.htm,[],[]
2002,2002-06-27,https://www.federalreserve.gov/fomc/minutes/20020507.htm,[],[]
2002,2002-08-15,https://www.federalreserve.gov/fomc/minutes/20020626.htm,[],[]
2002,2002-09-26,https://www.federalreserve.gov/fomc/minutes/20020813.htm,[],[]
2002,2002-11-07,https://www.federalreserve.gov/fomc/minutes/20020924.htm,[],[]
2002,2002-12-12,https://www.federalreserve.gov/fomc/minutes/20021106.htm,[],[]
2002,2003-01-30,https://www.federalreserve.gov/fomc/minutes/20021210.htm,[],[]
2001,2001-03-22,https://www.federalreserve.gov/fomc/minutes/20010131.htm,[],[]
2001,2001-05-17,https://www.federalreserve.gov/fomc/minutes/20010320.htm,[],[]
2001,2001-06-28,https://www.federalreserve.gov/fomc/minutes/20010515.htm,[],[]
2001,2001-08-23,https://www.federalreserve.gov/fomc/minutes/20010627.htm,[],[]
2001,2001-10-04,https://www.federalreserve.gov/fomc/minutes/20010821.htm,[],[]
2001,2001-11-08,https://www.federalreserve.gov/fomc/minutes/20011002.htm,[],[]
2001,2001-12-13,https://www.federalreserve.gov/fomc/minutes/20011106.htm,[],[]
2001,2002-01-31,https://www.federalreserve.gov/fomc/minutes/20011211.htm,[],[]
2000,2000-03-23,https://www.federalreserve.gov/fomc/minutes/20000202.htm,[],[]
2000,2000-05-18,https://www.federalreserve.gov/fomc/minutes/20000321.htm,[],[]
2000,2000-06-29,https://www.federalreserve.gov/fomc/minutes/20000516.htm,[],[]
2000,2000-08-24,https://www.federalreserve.gov/fomc/minutes/20000628.htm,[],[]
2000,2000-10-05,https://www.federalreserve.gov/fomc/minutes/20000822.htm,[],[]
2000,2000-11-16,https://www.federalreserve.gov/fomc/minutes/20001003.htm,[],[]
2000,2000-12-21,https://www.federalreserve.gov/fomc/minutes/20001115.htm,[],[]
2000,2001-02-01,https://www.federalreserve.gov/fomc/minutes/20001219.htm,[],[]
1999,1999-04-01,https://www.federalreserve.gov/fomc/minutes/19990202.htm,[],[]
1999,1999-05-20,https://www.federalreserve.gov/fomc/minutes/19990330.htm,[],[]
1999,1999-07-01,https://www.federalreserve.gov/fomc/minutes/19990518.htm,[],[]
1999,1999-08-26,https://www.federalreserve.gov/fomc/minutes/19990629.htm,[],[]
1999,1999-10-07,https://www.federalreserve.gov/fomc/minutes/19990824.htm,[],[]
1999,1999-11-18,https://www.federalreserve.gov/fomc/minutes/19991005.htm,[],[]
1999,1999-12-23,https://www.federalreserve.gov/fomc/minutes/19991116.htm,[],[]
1999,2000-02-03,https://www.federalreserve.gov/fomc/minutes/19991221.htm,[],[]
1998,1998-04-02,https://www.federalreserve.gov/fomc/minutes/19980203.htm,[],[]
1998,1998-05-21,https://www.federalreserve.gov/fomc/minutes/19980331.htm,[],[]
1998,1998-07-02,https://www.federalreserve.gov/fomc/minutes/19980519.htm,[],[]
1998,1998-08-20,https://www.federalreserve.gov/fomc/minutes/19980630.htm,[],[]
1998,1998-10-01,https://www.federalreserve.gov/fomc/minutes/19980818.htm,[],[]
1998,1998-11-19,https://www.federalreserve.gov/fomc/minutes/19980929.htm,[],[]
1998,1998-12-23,https://www.federalreserve.gov/fomc/minutes/19981117.htm,[],[]
1998,1999-02-04,https://www.federalreserve.gov/fomc/minutes/19981222.htm,[],[]
1997,1997-03-27,https://www.federalreserve.gov/fomc/minutes/19970204.htm,[],[]
1997,1997-05-22,https://www.federalreserve.gov/fomc/minutes/19970325.htm,[],[]
1997,1997-07-03,https://www.federalreserve.gov/fomc/minutes/19970520.htm,[],[]
1997,1997-08-21,https://www.federalreserve.gov/fomc/minutes/19970701.htm,[],[]
1997,1997-10-02,https://www.federalreserve.gov/fomc/minutes/19970819.htm,[],[]
1997,1997-11-13,https://www.federalreserve.gov/fomc/minutes/19970930.htm,[],[]
1997,1997-12-18,https://www.federalreserve.gov/fomc/minutes/19971112.htm,[],[]
1997,1998-02-05,https://www.federalreserve.gov/fomc/minutes/19971216.htm,[],[]
1996,1996-03-29,https://www.federalreserve.gov/fomc/minutes/19960130.htm,[],[]
1996,1996-05-24,https://www.federalreserve.gov/fomc/minutes/19960326.htm,[],[]
1996,1996-07-05,https://www.federalreserve.gov/fomc/minutes/19960521.htm,[],[]
1996,1996-08-23,https://www.federalreserve.gov/fomc/minutes/19960702.htm,[],[]
1996,1996-09-27,https://www.federalreserve.gov/fomc/minutes/19960820.htm,[],[]
1996,1996-11-15,https://www.federalreserve.gov/fomc/minutes/19960924.htm,[],[]
1996,1996-12-20,https://www.federalreserve.gov/fomc/minutes/19961113.htm,[],[]
1996,1997-02-06,https://www.federalreserve.gov/fomc/minutes/19961217.htm,[],[]
1995,1995-03-31,https://www.federalreserve.gov/fomc/MINUTES/1995/19950201min.htm,[],[]
1995,1995-05-26,https://www.federalreserve.gov/fomc/MINUTES/1995/19950328min.htm,[],[]
1995,1995-07-07,https://www.federalreserve.gov/fomc/MINUTES/1995/19950523min.htm,[],[]
1995,1995-08-25,https://www.federalreserve.gov/fomc/MINUTES/1995/19950706min.htm,[],[]
1995,1995-09-29,https://www.federalreserve.gov/fomc/MINUTES/1995/19950822min.htm,[],[]
1995,1995-11-17,https://www.federalreserve.gov/fomc/MINUTES/1995/19950926min.htm,[],[]
1995,1995-12-22,https://www.federalreserve.gov/fomc/MINUTES/1995/19951115min.htm,[],[]
1995,1996-02-02,https://www.federalreserve.gov/fomc/MINUTES/1995/19951219min.htm,[],[]
1994,1994-03-25,https://www.federalreserve.gov/fomc/MINUTES/1994/19940204min.htm,[],[]
1994,1994-05-20,https://www.federalreserve.gov/fomc/MINUTES/1994/19940322min.htm,[],[]
1994,1994-07-08,https://www.federalreserve.gov/fomc/MINUTES/1994/19940517min.htm,[],[]
1994,1994-08-19,https://www.federalreserve.gov/fomc/MINUTES/1994/19940706min.htm,[],[]
1994,1994-09-30,https://www.federalreserve.gov/fomc/MINUTES/1994/19940816min.htm,[],[]
1994,1994-11-18,https://www.federalreserve.gov/fomc/MINUTES/1994/19940927min.htm,[],[]
1994,1994-12-22,https://www.federalreserve.gov/fomc/MINUTES/1994/19941115min.htm,[],[]
1994,1995-02-03,https://www.federalreserve.gov/fomc/MINUTES/1994/19941220min.htm,[],[]
1993,1993-03-26,https://www.federalreserve.gov/fomc/MINUTES/1993/19930203min.htm,[],[]
1993,1993-05-21,https://www.federalreserve.gov/fomc/MINUTES/1993/19930323min.htm,[],[]
1993,1993-07-09,https://www.federalreserve.gov/fomc/MINUTES/1993/19930518min.htm,[],[]
1993,1993-08-20,https://www.federalreserve.gov/fomc/MINUTES/1993/19930707min.htm,[],[]
1993,1993-09-24,https://www.federalreserve.gov/fomc/MINUTES/1993/19930817min.htm,[],[]
1993,1993-11-19,https://www.federalreserve.gov/fomc/MINUTES/1993/19930921min.htm,[],[]
1993,1993-12-23,https://www.federalreserve.gov/fomc/MINUTES/1993/19931116min.htm,[],[]
1993,1994-02-04,https://www.federalreserve.gov/fomc/MINUTES/1993/19931221min.htm,[],[]
